0.18698,0.98233,0.0086688,0.97916,-0.18708,0.079079,0.079303,-0.0062981,-0.99683,-0.086525,-0.0067114,0.99153
0.057166,0.93974,-0.33708,0.99256,-0.017156,0.1205,0.10746,-0.34147,-0.93373,-0.094055,0.41846,0.98554
0.00095006,0.87362,-0.4866,0.99014,0.067343,0.12284,0.14008,-0.48192,-0.86494,-0.10206,0.65176,0.9845
0.34214,0.85504,0.38968,0.93415,-0.35431,-0.042745,0.10152,0.37864,-0.91996,-0.15099,-0.44537,0.80104
0.09914,0.91322,0.39523,0.97422,-0.16996,0.14834,0.20264,0.37034,-0.90652,-0.0041694,-0.37441,0.77427
-0.060192,0.99817,-0.0057627,0.98321,0.060284,0.17225,0.17229,0.0047023,-0.98504,0.075088,-0.076383,0.9696
-0.18437,0.92579,-0.33002,0.96081,0.2405,0.13788,0.20702,-0.29167,-0.93385,0.051426,0.44863,0.96252
0.016528,0.99902,-0.040979,0.96271,-0.02697,-0.2692,-0.27005,-0.035001,-0.96221,0.34677,0.20394,1.0798
0.1629,0.92941,0.33114,0.95487,-0.064022,-0.29003,-0.24836,0.36344,-0.8979,0.37769,-0.43758,1.1399
0.40342,0.88872,0.2178,0.91216,-0.37183,-0.17235,-0.07219,0.2682,-0.96065,0.33602,-0.35845,1.1778
0.26183,0.95428,-0.14419,0.96166,-0.27059,-0.044603,-0.081582,-0.12699,-0.98854,0.37045,0.19798,1.2696
0.13141,0.86945,-0.47623,0.99096,-0.12823,0.039337,-0.026864,-0.4771,-0.87844,0.34057,0.66719,1.2269
-0.50226,0.84406,-0.18785,0.82796,0.40676,-0.38605,-0.24944,-0.34944,-0.90315,0.28726,0.39904,1.0353
-0.36698,0.91611,0.16144,0.88729,0.39685,-0.235,-0.27936,0.057,-0.95849,0.31377,-0.18251,1.0581
-0.26376,0.86879,0.41908,0.92843,0.34651,-0.13401,-0.26164,0.35374,-0.898,0.35641,-0.62212,1.1439
0.017754,0.91666,0.39927,0.93594,0.12524,-0.32914,-0.35171,0.37954,-0.85572,0.77925,-0.42703,1.138
-0.049298,0.98472,0.16703,0.86789,0.125,-0.48078,-0.49431,0.12126,-0.86079,0.60511,-0.16938,1.3266
-0.082409,0.91451,-0.39608,0.86678,-0.13037,-0.48136,-0.49184,-0.38298,-0.78193,0.57228,0.54601,1.4058
